Watching for 99 design PNGs...
  Total extracted: 95/1525  |  Checkpoint missing: 61
  Total extracted: 120/1525  |  Checkpoint missing: 57
  Total extracted: 163/1525  |  Checkpoint missing: 48
  Total extracted: 203/1525  |  Checkpoint missing: 41
  Total extracted: 245/1525  |  Checkpoint missing: 39
  Total extracted: 287/1525  |  Checkpoint missing: 37
  Total extracted: 322/1525  |  Checkpoint missing: 34
  Total extracted: 361/1525  |  Checkpoint missing: 29
  Total extracted: 395/1525  |  Checkpoint missing: 28
  Total extracted: 433/1525  |  Checkpoint missing: 26
  Total extracted: 476/1525  |  Checkpoint missing: 24
  Total extracted: 522/1525  |  Checkpoint missing: 23
  Total extracted: 569/1525  |  Checkpoint missing: 19
  Total extracted: 606/1525  |  Checkpoint missing: 19
  Total extracted: 625/1525  |  Checkpoint missing: 18
  Total extracted: 645/1525  |  Checkpoint missing: 17
  Total extracted: 667/1525  |  Checkpoint missing: 16
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 675/1525  |  Checkpoint missing: 15
  Total extracted: 679/1525  |  Checkpoint missing: 9
  Total extracted: 687/1525  |  Checkpoint missing: 3
  Total extracted: 690/1525  |  Checkpoint missing: 0
