wt-circle src,shop2-review-attribution,shop2-review-attribution 2,shop2-review-attribution href,screen-reader-only,prose,wt-display-block href,listing-image src,wt-display-table-cell
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Jun 9, 2026",Jorden,https://www.etsy.com/people/Woodedchimp?ref=shop_review,4 out of 5 stars,Bought the Dewey shirt for my sisters birthday and she couldn't be happier.,https://www.etsy.com/listing/1654529380/dewey-shirt-dewey-homage-t-shirt-dewey?ref=shop_review,https://i.etsystatic.com/5725487208/r/il/1f1334/5725487208/il_170x135.5725487208_bfze.jpg,"DEWEY Shirt, Dewey Homage T-Shirt, Dewey Kenneth Wilkerson Malcolm In The Middle Character Vintage Merch, Erik Per Sullivan Tee Fan Gift"
https://i.etsystatic.com/iusa/c1aac1/89126804/iusa_75x75.89126804_25h4.jpg?version=0,"on Jun 9, 2026",jocelyn,https://www.etsy.com/people/jocelynsafko?ref=shop_review,5 out of 5 stars,Bought this for myself as I am a big fan and I was not disappointed,https://www.etsy.com/listing/1570160248/retro-fitzwilliam-darcy-shirt?ref=shop_review,https://i.etsystatic.com/5378968662/r/il/538e1a/5378968662/il_170x135.5378968662_hj0z.jpg,"Retro Fitzwilliam Darcy Shirt, Fitzwilliam Darcy Tees, Vintage Fitzwilliam Darcy T-shirt, Pride and Prejudice, Gift for fan"
https://i.etsystatic.com/iusa/d6772b/27493462/iusa_75x75.27493462_e8ra.jpg?version=0,"on Feb 10, 2026",Ellen,https://www.etsy.com/people/ellenbowden1?ref=shop_review,5 out of 5 stars,Came earlier than it was supposed to and it's perfect.,https://www.etsy.com/listing/1192937070/princess-diana-retro-shirt-princess?ref=shop_review,https://i.etsystatic.com/3824318635/r/il/845fc0/3824318635/il_170x135.3824318635_r8u5.jpg,"Princess Diana Retro Shirt, Princess Diana Fan Shirt, Princess Diana Shirt, Princess Diana Unisex Shirt, Princess Diana Public Figure Tee"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Jan 21, 2026",Mark,https://www.etsy.com/people/markbarefield?ref=shop_review,5 out of 5 stars,Perfect for the Darcy lover in your life.,https://www.etsy.com/listing/1570160248/retro-fitzwilliam-darcy-shirt?ref=shop_review,https://i.etsystatic.com/5427133755/r/il/2ef252/5427133755/il_170x135.5427133755_h6r5.jpg,"Retro Fitzwilliam Darcy Shirt, Fitzwilliam Darcy Tees, Vintage Fitzwilliam Darcy T-shirt, Pride and Prejudice, Gift for fan"
https://i.etsystatic.com/iusa/84baf4/67727904/iusa_75x75.67727904_5gva.jpg?version=0,"on Jan 3, 2026",Etsy buyer,https://www.etsy.com/people/thimmmarie?ref=shop_review,5 out of 5 stars,"It was a gift, my girlfriend was thrilled.",https://www.etsy.com/listing/1192937070/princess-diana-retro-shirt-princess?ref=shop_review,https://i.etsystatic.com/3824318691/r/il/b1e155/3824318691/il_170x135.3824318691_7wi4.jpg,"Princess Diana Retro Shirt, Princess Diana Fan Shirt, Princess Diana Shirt, Princess Diana Unisex Shirt, Princess Diana Public Figure Tee"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Jun 8, 2026",Ashlee,https://www.etsy.com/people/fubve3ls?ref=shop_review,5 out of 5 stars,Awesome buying experience. Shirt arrived super fast and great quality. Highly recommend. A+,https://www.etsy.com/listing/1834290285/james-mcavoy-tribute-t-shirt-james?ref=shop_review,https://i.etsystatic.com/6468940610/r/il/9293bf/6468940610/il_170x135.6468940610_p36q.jpg,"JAMES MCAVOY Tribute T-shirt - James Mcavoy Fans Gift, James Mcavoy Vintage Shirt, James Mcavoy Retro Shirt, James Mcavoy Long Sleeve Shirt"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on May 27, 2026",Taylor,https://www.etsy.com/people/ks4mwkd10xc3qzw9?ref=shop_review,5 out of 5 stars,A great gift for my partner!,https://www.etsy.com/listing/1396813695/retro-taika-waititi-shirt-taika-fans?ref=shop_review,https://i.etsystatic.com/4584085859/r/il/bb4e35/4584085859/il_170x135.4584085859_mmst.jpg,"RETRO TAIKA WAITITI Shirt, Taika Fans Tees, New Zealand Filmmaker, Actor, Comedian Tees, Thor, Taika Waititi Retro 90 Sweater, Taika Waititi"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on May 24, 2026",Kelly,https://www.etsy.com/people/kmdodson3?ref=shop_review,5 out of 5 stars,I love the shirt. Looks great.,https://www.etsy.com/listing/4484442548/david-attenborough-shirt-david?ref=shop_review,https://i.etsystatic.com/7886116380/r/il/b537da/7886116380/il_170x135.7886116380_cf9m.jpg,"DAVID ATTENBOROUGH Shirt, David Attenborough Tshirt, David Attenborough Sweateshirt, David Attenborough Merch, David Attenboroug Shirt"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on May 23, 2026",Santanna,https://www.etsy.com/people/ikx474rlpfev5x8m?ref=shop_review,5 out of 5 stars,"love love love love wear this alllll the time. fits great to size, has beautiful mr shore on it, it's great 🥰",https://www.etsy.com/listing/1820103134/limited-pauly-shore-shirt-pauly-shore?ref=shop_review,https://i.etsystatic.com/6517100837/r/il/3e3b05/6517100837/il_170x135.6517100837_fgju.jpg,"Limited Pauly Shore shirt, Pauly Shore vintage retro design tees, Comedian Shirt, Retro 90's Pauly Shore Shirt, Gift for Fan"
https://i.etsystatic.com/iusa/87e44d/65189052/iusa_75x75.65189052_4tr2.jpg?version=0,"on May 20, 2026",Ib,https://www.etsy.com/people/nbjs1hgs?ref=shop_review,5 out of 5 stars,nice shirt,https://www.etsy.com/listing/1610700137/mia-khalifa-retro-t-shirt-mia-khalifa?ref=shop_review,https://i.etsystatic.com/5503370160/r/il/58d7b5/5503370160/il_170x135.5503370160_otj2.jpg,"MIA KHALIFA Retro T-shirt - Mia Khalifa Tee, Mia Khalifa Long Sleeve Shirt, Mia Khalifa Homage Tees, Mia Khalifa Fans Gifts"
